Sl.No,Lane,VehicleType,Entry,Exit
3234,1,3,18345.96,18353.44
3235,1,1,18346.92,18351.64
3236,1,1,18381.48,18388.12
3237,2,1,18391.96,18396.84
3238,1,3,18393,18399.6
3239,1,3,18402.6,18410.16
3240,2,3,18407.52,18416.04
3241,1,1,18411.44,18417
3242,1,1,18421.8,18426.6
3243,1,1,18436.08,18440.68
3244,1,3,18438.12,18444.12
3245,1,1,18442.92,18448.04
3246,2,3,18459.12,18465
3247,2,3,18462.52,18466.92
3248,2,3,18463.32,18468.84
3249,2,3,18464.04,18470.76
3250,1,1,18465,18469.28
3251,1,4,18468.84,18473.64
3252,1,1,18469.8,18475.56
3253,2,1,18474.4,18479.4
3254,2,5,18478.24,18485.16
3255,1,2,18487.08,18490.96
3256,1,1,18490.92,18495.84
3257,1,3,18499.32,18505.6
3258,2,1,18503.64,18510.12
3259,2,3,18506.96,18513
3260,1,3,18508.2,18513.96
3261,2,3,18510.56,18517.8
3262,1,1,18517.76,18523.56
3263,1,1,18519.72,18526
3264,1,3,18521.64,18527.96
3265,2,2,18524.4,18530.28
3266,2,3,18529.96,18535.08
3267,2,3,18551.4,18556.2
3268,2,3,18552.56,18558.12
3269,1,3,18574.24,18579.24
3270,2,2,18586.6,18591.72
3271,1,2,18589.8,18595.88
3272,1,2,18592.68,18599.2
3273,2,1,18594.64,18601.32
3274,2,7,18596.92,18611.88
3275,2,3,18603.24,18618.04
3276,2,2,18603.32,18616.68
3277,1,5,18608.04,18621.48
3278,1,2,18613.8,18622.44
3279,1,4,18617.64,18625.32
3280,2,3,18637.44,18644.52
3281,2,2,18646.44,18652.2
3282,2,3,18652.2,18662.76
3283,2,2,18659.88,18665.64
3284,1,3,18658.92,18664.12
3285,2,3,18660.96,18666.6
3286,1,3,18661,18669.4
3287,2,2,18662.76,18672.36
3288,2,3,18667.16,18672.36
3289,1,7,18667.16,18680.38
3290,2,1,18669.48,18677.16
3291,2,1,18671.24,18678.12
3292,2,2,18673.32,18681
3293,2,3,18675.24,18681
3294,2,3,18676.2,18682.92
3295,1,7,18680.04,18691.74
3296,1,4,18681.96,18692.46
3297,2,3,18681.76,18688.68
3298,1,3,18688.68,18701.24
3299,1,4,18690.6,18699.96
3300,1,3,18693.48,18702.12
3301,1,1,18694.44,18706.92
3302,1,2,18694.44,18702.36
3303,1,2,18698.28,18709.32
3304,2,1,18702.56,18709.32
3305,1,2,18699.24,18710.76
3306,2,3,18707.16,18713.64
3307,1,3,18708.6,18713.44
3308,1,2,18708.84,18715.56
3309,1,3,18710.76,18717.53
3310,1,2,18713.64,18720.36
3311,1,3,18714.6,18727.24
3312,2,3,18721.32,18727.08
3313,2,3,18723.16,18730.92
3314,1,3,18727.92,18733.64
3315,1,1,18733.68,18737.64
3316,1,1,18746.28,18752.04
3317,1,1,18748.16,18753.12
3318,1,1,18755.88,18761.24
3319,1,1,18757.88,18762.8
3320,1,3,18761.68,18766.64
3321,2,2,18769.32,18776.04
3322,1,1,18788.52,18793.32
3323,1,1,18788.52,18795.32
3324,1,1,18802.92,18808.12
3325,1,2,18808.68,18817.36
3326,1,2,18810.6,18816.16
3327,1,1,18812.52,18817.48
